"Gas.Utility","Electric.Utility","Customer.Type","Total.Project.Cost","Total.Incentives","Fuel.Type","Year.Home.Built","Size.of.Home","Measure.Type","FYES","HRGJ"
14,8,1,13546,4000,9,1959,1538,1,375,2
1,5,1,7450,3475,10,1920,1516,1,105,2
1,5,1,16800,4000,10,1870,1650,1,1274,2
14,8,1,12100,4000,9,1965,1040,1,237,2
11,6,2,12849,0,9,1955,1500,1,376,2
9,5,2,4522,0,9,2013,1250,1,11,2
3,2,2,4475,0,9,1929,1320,1,112,2
11,6,1,10484,4000,9,1900,2896,1,319,2
11,6,1,2850,1425,9,1970,1300,1,16,2
9,5,2,3800,0,9,1930,1488,1,76,2
14,8,1,8765,4383,9,1928,1728,1,86,2
11,6,1,15308,4000,9,1946,1440,1,395,2
14,8,1,6700,3350,9,1934,1350,1,167,2
10,6,2,4980,0,9,1836,3315,1,196,2
14,8,2,8500,0,9,1953,1736,1,122,2
10,5,1,3096,1548,9,1905,1104,1,97,2
14,8,1,6700,3350,9,1920,1144,1,212,2
1,6,1,10248,4000,11,1848,1418,1,395,2
14,8,2,10300,0,9,1995,1515,1,103,2
1,6,1,3513,1757,2,1900,880,1,453,2
10,5,1,16600,4000,9,1988,1776,1,810,2
10,5,2,7000,0,9,1999,1344,1,216,2
1,3,2,6550,0,10,1960,2280,1,789,2
9,6,1,4995,2498,9,1964,1992,1,120,2
10,5,2,8230,0,9,1999,2195,1,166,2
14,8,1,1650,825,9,1932,1950,1,61,2
14,8,2,3888,0,9,1963,1344,1,9,2
1,1,1,17549,5000,10,1900,1798,1,1252,2
14,8,1,11122,4000,9,1955,1632,1,274,2
10,5,2,8050,0,9,1992,1600,1,224,2
1,5,1,9500,4000,10,1979,1560,1,365,2
14,8,2,5800,0,9,1900,1874,1,72,2
11,6,1,10900,2691,9,1990,984,1,105,2
14,8,2,4500,0,9,1972,899,1,28,2
14,8,2,11780,0,9,1961,1599,1,115,2
4,6,2,12000,0,9,1930,1728,1,173,2
11,8,2,4400,0,9,1922,2000,1,12,2
11,6,1,7540,3770,1,1973,2727,1,569,2
10,5,1,3995,1998,9,1950,1793,1,97,2
11,8,1,8646,4000,9,1885,2300,1,88,2
14,8,1,4250,2125,9,1984,1956,1,87,2
14,8,1,6782,3391,9,2003,1425,1,83,2
14,8,1,7000,3500,9,1966,1628,1,111,2
11,8,2,9375,0,9,1875,1242,1,58,2
2,1,2,14000,0,9,1880,2400,1,279,2
10,5,1,5341,2670,9,1950,2012,1,172,2
11,5,2,9950,0,9,1960,1092,1,82,2
10,5,1,1700,850,9,1972,1215,1,30,1
9,5,2,8800,0,9,1959,1600,1,45,2
14,8,2,4210,0,9,1956,1662,1,136,2
1,6,1,13700,3325,10,1941,1497,1,1991,2
14,8,1,15259,4000,9,1920,2302,1,290,2
14,8,1,7842,3921,9,1926,1632,1,85,2
14,8,1,12856,4000,9,1955,1350,1,297,2
9,6,2,10238,0,9,1975,2700,1,152,2
14,5,2,6987,0,9,1973,1313,1,95,2
14,8,1,7400,3700,9,1965,1440,1,24,2
14,8,1,6410,3205,9,1910,2285,2,220,2
14,8,2,5112,0,9,1986,1080,1,29,2
14,8,2,4484,0,9,1963,1800,1,106,2
14,8,2,5000,0,9,1915,1668,1,89,2
1,1,2,13305,0,10,1964,2375,1,1294,2
10,5,1,5900,2925,9,1950,1252,1,304,2
3,2,2,4555,0,9,1920,1804,1,319,2
14,8,2,6000,0,9,1928,1500,1,70,2
1,5,1,3375,1688,11,1990,852,1,173,2
1,5,2,6100,0,10,1996,1004,1,403,2
14,8,2,9732,0,9,1997,3932,1,72,2
14,5,2,4450,0,9,2005,1772,1,9,2
3,2,1,8945,4000,9,1937,1961,1,248,2
14,8,2,5597,0,9,1963,1700,1,267,2
14,8,2,10500,0,9,1984,2704,1,150,2
10,5,2,6150,0,9,1926,1900,1,144,2
11,5,1,3962,1652,9,1950,1900,1,73,2
14,8,2,7730,0,9,1994,3239,1,121,2
1,2,1,15067,7534,10,1975,2046,1,1145,1
1,5,1,4300,2150,11,1930,1544,1,540,2
1,1,1,8090,3915,10,1890,2124,1,1513,2
14,8,1,8750,4000,9,1890,2872,1,246,2
1,8,1,6400,3200,11,1864,1800,1,79,2
1,8,1,3255,1628,10,1900,1024,1,156,2
1,5,1,11330,5665,10,1920,2160,1,1599,2
14,8,2,9700,0,9,1964,1749,1,51,2
14,8,2,3789,0,9,1983,1842,1,75,2
10,5,2,5180,0,9,1930,3992,1,212,2
14,8,1,5263,2432,9,1984,2340,1,37,2
1,6,2,12540,0,11,2017,3000,1,197,2
13,7,2,10905,0,9,1989,2160,1,1084,1
11,4,1,11173,5000,9,1952,1507,1,109,2
14,8,2,5420,0,9,1997,2300,1,89,2
4,6,2,1890,0,9,1999,2641,1,27,2
14,8,2,6180,0,9,1968,1722,1,51,2
1,1,2,14269,0,10,1850,1440,1,936,2
9,5,1,5800,2900,9,1930,1793,2,120,2
11,6,1,8000,4000,9,1920,1048,1,117,2
14,8,2,3901,0,9,1980,1992,1,185,2
11,8,1,7395,3698,9,1960,962,1,142,2
10,5,2,4150,0,9,1989,2500,1,144,2
1,8,1,5970,2985,11,1940,1104,1,1116,2
14,8,2,10453,0,9,2000,3082,1,163,2
11,6,1,8629,4000,9,1865,1880,1,148,2
14,8,2,3988,0,9,1964,1510,1,90,2
3,2,2,7211,0,9,1947,3720,1,326,2
14,8,1,7886,3943,9,1901,1640,1,130,2
1,5,2,4644,0,10,2003,1286,1,359,2
9,6,1,9437,4000,9,1953,1680,1,181,2
10,5,1,8140,4000,9,1961,2162,1,85,2
1,8,1,11900,3778,10,1965,2625,1,418,2
10,5,2,4275,0,9,1962,2952,1,104,1
14,8,2,4000,0,9,1999,1236,1,15,2
14,8,1,4650,2325,9,1945,1632,1,157,2
9,5,1,5100,2550,9,1954,1200,1,81,2
14,8,1,9600,4000,9,1920,1104,1,234,2
10,5,1,3955,1978,9,1956,1020,1,78,2
1,8,2,17469,0,10,1951,2972,1,98,2
10,5,2,6720,0,9,1965,1147,1,199,2
10,5,2,3490,0,9,1955,1328,1,33,2
14,8,1,3600,1800,1,1981,1528,1,106,2
14,8,1,10119,4000,9,1950,1745,1,260,2
1,5,2,12400,0,10,1965,1650,1,321,2
14,8,1,6000,3000,9,1972,1584,1,83,2
14,8,1,2662,1331,9,1967,1407,1,14,2
13,7,1,14400,4000,9,1890,3045,1,647,2
14,8,2,8565,0,9,1878,2440,1,197,2
14,8,2,7374,0,9,1950,1604,1,288,2
1,5,1,2834,1417,10,1857,3687,1,90,2
11,6,2,5150,0,9,1988,2310,1,34,2
1,5,1,5799,2900,11,1988,1120,1,991,2
1,8,2,3920,0,10,1850,1441,1,66,2
11,6,1,10280,4000,9,1992,1040,1,354,1
14,8,2,11044,0,9,1925,1368,1,210,2
3,2,2,13131,0,9,1958,1776,1,639,2
14,8,1,4455,2228,9,1955,1088,1,85,2
14,8,1,8635,4000,9,1932,1108,1,261,2
9,5,1,9100,4000,9,1880,1126,1,148,2
14,8,1,6525,3263,9,1900,1144,1,238,2
14,8,2,4102,0,9,1925,2034,1,82,2
10,5,1,5940,2304,1,1950,976,1,167,2
1,8,2,3960,0,11,1964,1644,1,29,2
1,6,1,4600,2300,11,1992,1040,1,145,2
11,6,1,4990,2495,9,1940,1472,1,44,2
14,8,2,4570,0,9,1990,2170,1,19,2
3,2,1,3558,1779,9,1929,1344,1,115,2
11,4,1,2944,1472,9,1900,1884,1,58,2
1,8,2,17845,0,11,1972,2500,1,391,2
14,8,1,7000,3500,9,1999,2094,1,229,2
14,8,2,4560,0,9,1985,1596,1,7,2
10,5,1,5160,2580,9,1889,1936,2,457,2
14,8,2,12700,0,9,1966,2866,1,160,2
1,5,1,5200,2600,11,2000,1700,1,536,2
14,8,2,8842,0,9,1952,2240,1,300,2
11,6,2,10890,0,9,1954,2600,1,96,2
9,5,1,8600,4300,9,1974,3510,1,143,2
10,5,1,15950,4000,9,1965,1107,1,715,2
14,8,2,2935,0,9,2002,1788,1,50,2
14,8,1,9320,4660,9,1941,1522,1,227,2
14,8,2,5335,0,9,1964,1088,1,21,2
1,5,1,9000,4000,10,1939,1500,1,1637,2
14,5,1,6275,3138,9,1835,1400,1,18,2
1,5,2,2500,0,11,1950,924,1,510,2
14,8,2,12000,0,9,1973,1092,1,81,2
14,8,2,2531,0,9,1952,936,1,21,2
9,5,1,4650,2325,9,1995,914,1,36,2
14,8,1,10670,4000,9,1880,1850,1,324,2
14,8,2,10070,0,9,1974,1260,1,84,2
1,6,1,3290,1645,6,1988,960,1,196,2
14,8,1,5790,2895,9,1925,2118,1,74,2
1,8,2,5180,0,9,2003,1400,1,29,2
9,6,2,3800,0,9,1935,2524,1,64,2
11,5,1,9000,4000,9,1950,2739,1,274,2
10,2,1,3825,1913,9,1925,1909,1,232,2
14,8,1,3244,1622,9,1953,1035,1,27,2
14,8,2,12800,0,9,1999,1169,1,85,2
14,8,2,4320,0,9,1920,1536,1,25,2
14,8,1,9540,3400,9,1966,1640,1,65,2
14,8,1,7700,3850,9,1995,980,1,143,2
10,5,2,14269,0,9,1860,2226,1,1084,2
14,8,2,7778,0,9,1982,2196,1,332,2
14,8,2,8917,0,9,1998,2044,1,61,2
14,8,2,5230,0,9,1915,1536,1,211,2
1,6,1,13984,4000,11,1900,2538,1,313,2
1,6,2,8500,0,1,1999,1848,1,679,2
14,8,1,6066,3033,9,1955,1200,1,80,2
3,2,2,1403,0,9,1927,3100,1,170,2
14,5,1,5400,2700,9,2000,1400,1,42,2
11,6,1,5586,2793,9,1941,1270,1,46,2
1,6,1,5400,2700,11,1992,1560,1,247,2
9,5,2,4685,0,9,1966,1250,1,57,2
14,8,2,4200,0,9,1924,1784,1,65,2
9,6,1,8100,2350,9,1956,1152,1,84,2
14,8,2,9249,0,9,1960,1693,1,200,2
10,5,2,4826,0,9,1940,1825,1,181,2
14,8,2,4468,0,9,1954,1840,1,94,2
9,6,1,14413,5000,9,1940,988,1,174,2
14,8,2,6518,0,9,1973,2353,1,69,2
14,8,2,6705,0,9,1929,1777,1,153,2
14,8,2,8480,0,9,1938,1786,1,91,2
1,4,1,10457,1116,11,1940,1596,1,142,2
9,5,1,3992,1996,9,1984,1248,1,207,2
1,1,1,5620,2810,6,1957,896,1,244,2
11,6,2,2429,0,9,1950,1180,1,28,2
11,6,2,4720,0,9,1899,1708,1,75,2
14,8,1,14001,5408,9,1909,2100,1,340,2
14,8,1,11454,4000,9,1964,1920,1,155,2
11,6,2,5469,0,9,2001,3784,1,33,2
14,5,2,11221,0,11,1995,1756,1,107,2
14,5,1,3800,1900,9,1950,1118,1,61,1
9,5,1,4300,2150,9,1884,1116,1,91,2
14,8,2,4522,0,9,1992,1400,1,88,2
14,8,1,10674,3580,9,1958,1161,1,92,2
3,2,1,7205,3603,9,1995,2251,1,378,2
10,5,1,9256,4000,9,1920,1624,1,336,2
14,8,2,4832,0,9,1994,2400,1,66,2
11,8,2,4110,0,9,1960,2100,1,237,2
3,2,2,7775,0,9,1913,2640,1,274,2
10,5,1,11033,4000,9,1952,1664,1,383,2
10,5,1,11225,4000,9,1940,1230,1,264,2
10,5,2,2090,0,9,1981,2407,1,20,2
14,4,2,11697,0,9,1830,2241,1,148,2
14,8,2,5172,0,9,1954,1646,1,136,2
14,8,2,4286,0,9,1988,2496,1,6,2
9,5,1,12600,4000,9,1890,1284,1,215,2
14,8,2,4305,0,9,1985,2078,1,40,2
10,5,1,11391,3392,9,1957,1872,1,417,2
14,8,2,11295,0,9,1984,1800,1,43,2
11,6,1,4993,2497,9,2000,994,1,116,2
9,5,1,5014,2507,9,1928,2597,1,86,2
11,6,1,8573,4000,1,1890,1060,1,292,2
10,5,2,3775,0,1,1958,1100,1,220,2
11,6,1,5900,2950,9,1930,2016,1,265,2
1,6,2,4450,0,11,1968,1260,1,24,2
11,6,2,5500,0,9,1920,1912,1,42,2
9,6,1,14727,4000,9,1966,1172,1,449,2
14,8,2,10319,0,9,1999,1984,1,155,2
11,6,1,9839,2500,9,1900,1008,1,103,2
10,5,1,10000,4000,9,1948,1549,1,285,2
14,8,2,4085,0,9,1986,2217,1,42,2
10,5,1,9450,4725,9,1900,1840,1,295,2
14,8,2,8900,0,9,1957,1007,1,30,2
14,8,2,8700,0,9,2001,1666,1,178,2
10,5,2,10900,0,9,1987,2142,1,161,2
1,5,2,11100,0,6,1975,1707,1,36,2
11,6,1,8600,4000,9,1950,1048,1,129,2
10,5,1,7274,3637,9,1988,2838,1,287,2
10,5,1,7500,3750,9,1958,925,1,80,2
14,8,1,19978,5000,9,1960,2240,1,513,2
3,2,2,5034,0,9,1958,1760,1,324,2
1,1,1,8308,3678,1,1992,1777,1,572,2
3,2,2,13255,0,9,1910,3100,1,1080,2
1,6,2,1253,0,11,1998,1280,1,11,2
14,8,2,5260,0,9,1989,1532,1,37,2
14,5,2,2300,0,9,1976,1860,1,33,2
9,5,1,17700,5000,9,1927,1562,1,317,2
14,8,2,10516,0,9,1994,2616,1,107,2
10,5,1,8250,4000,9,1968,1344,1,229,2
11,6,1,4213,2107,9,2000,1568,1,206,2
9,5,1,6870,3435,9,1972,980,1,173,1
14,8,2,4300,0,9,1984,1450,1,34,2
14,8,1,5800,2900,9,1982,2676,1,280,2
14,8,2,3800,0,9,1956,1702,1,23,2
10,5,1,5544,2585,9,1968,1800,1,261,1
14,8,2,11520,0,9,1996,2814,1,101,2
9,5,1,10190,3110,9,1930,1968,1,258,2
10,5,2,5928,0,9,2014,1622,1,254,2
14,8,1,7908,3954,9,1995,1440,1,197,2
9,5,1,5350,2525,9,1875,900,1,713,2
14,8,1,4031,2016,1,1987,1612,1,93,2
14,8,1,15430,4000,9,1900,1950,1,71,2
10,5,1,6400,3200,9,1990,910,1,141,2
1,1,2,8790,0,10,1957,1872,1,2160,1
3,2,2,9938,0,9,1954,1765,1,763,2
14,8,1,21204,6632,9,1928,3096,1,444,2
14,8,2,2825,0,9,1996,2794,1,34,2
14,8,2,4201,0,9,1900,2263,1,17,2
10,5,1,6900,3450,9,1941,2930,1,358,2
1,6,1,7923,3839,10,1900,1424,1,1472,2
14,5,2,9538,0,9,1950,1245,1,117,2
14,8,2,3830,0,9,1965,1550,1,25,2
14,8,2,15690,0,9,2012,1745,1,130,2
10,5,1,5835,2768,9,1950,2134,1,107,2
1,6,2,7275,0,6,1984,1606,1,367,2
14,8,2,2924,0,9,1953,1644,1,59,2
10,5,2,6810,0,9,1969,1904,1,247,2
14,8,2,14652,0,9,1952,1047,1,246,2
9,6,1,8774,4387,1,1927,1298,1,186,2
14,8,2,5993,0,9,1939,2590,1,139,2
1,1,1,4100,2050,10,1989,2668,1,403,2
1,5,1,4727,2364,12,1986,816,1,15,2
11,6,1,6336,3168,1,1950,1152,1,123,2
14,8,2,8142,0,9,1962,924,1,86,2
14,8,2,720,0,9,1989,2600,1,27,2
9,5,1,5320,2660,9,1900,1750,1,325,2
14,8,2,14330,0,9,1963,1050,1,93,2
11,8,2,8331,0,9,1890,1526,1,442,2
1,5,1,10600,4000,10,1865,2222,1,1341,2
14,8,2,5531,0,9,1954,1928,1,197,2
14,8,2,19700,0,9,1910,1648,1,222,2
11,6,2,10900,0,9,1952,1400,1,225,2
10,5,1,5616,2808,9,1925,2358,1,244,2
9,5,1,8033,4000,9,1900,1680,1,70,2
9,6,1,7316,3380,9,1890,2428,1,73,2
9,6,1,3872,1936,9,1977,1858,1,568,2
10,5,1,6500,3250,9,1950,2136,1,175,2
4,6,2,8440,0,9,2000,2496,1,68,2
14,8,1,9578,4789,9,2013,1980,1,178,2
14,8,1,4350,2175,9,1969,1374,1,147,2
11,8,2,5410,0,9,1904,2288,1,55,2
10,5,2,3400,0,9,1925,1345,1,69,2
14,8,1,10045,3273,9,1968,2775,1,131,2
11,6,2,4430,0,9,1982,1520,1,28,2
10,5,2,3370,0,9,1974,1000,1,150,2
11,6,1,13580,5000,9,1900,2392,1,175,2
14,8,2,10395,0,9,1952,2972,1,67,2
14,8,1,5600,2800,9,1968,1800,1,60,2
14,8,1,9650,4000,9,1990,1560,1,85,2
10,4,1,13400,3425,9,1993,2075,1,1151,1
14,8,1,8756,4000,9,2000,1138,1,78,2
14,8,1,8000,4000,9,1983,1456,1,197,2
11,6,1,5159,2580,9,1900,884,1,79,2
1,8,2,5400,0,11,1899,2157,1,397,2
14,8,2,7308,0,9,1979,2639,1,120,2
14,6,2,4000,0,9,2001,2750,1,85,2
14,8,2,7235,0,9,1955,2000,1,144,2
14,5,2,3980,0,9,1960,1708,1,54,2
14,8,2,4948,0,9,1957,1440,1,116,2
14,8,1,7000,3500,9,1947,1250,1,65,2
14,8,2,10010,0,9,1960,1600,1,208,2
14,8,2,4700,0,9,1949,1540,1,26,2
14,8,2,9300,0,9,1960,1528,1,150,2
14,8,2,5100,0,9,1963,2032,1,269,2
10,5,1,12814,4000,9,1900,1937,1,466,2
14,8,1,15009,4000,9,2002,1176,1,72,2
10,5,2,5650,0,10,1860,2304,1,1877,2
11,6,1,7990,3995,9,1900,1612,1,288,2
14,8,2,4800,0,9,2000,3565,1,75,2
1,5,1,3200,1600,10,1983,952,1,367,2
14,8,2,10155,0,9,1977,2566,1,152,2
10,5,2,3800,0,9,1935,1242,1,27,2
9,5,2,6974,0,9,1910,1920,1,304,1
14,8,2,3359,0,9,1971,2555,1,87,2
9,6,1,5801,2900,9,1900,2163,1,216,2
14,8,1,8100,3300,9,1955,1188,1,420,2
14,8,2,9268,0,9,1989,2321,1,426,2
14,8,1,4752,2376,9,1905,1096,1,189,2
11,6,1,5000,2500,9,1880,1440,1,88,2
14,8,2,4490,0,9,1977,1092,1,24,2
14,8,2,4680,0,9,1900,2076,1,77,2
9,5,2,4795,0,9,1951,1514,1,210,2
9,5,2,7686,0,9,1900,2050,1,38,2
9,6,1,7388,3694,9,1986,1104,2,100,2
1,1,2,2690,0,10,1962,2375,1,501,2
9,5,2,9630,0,9,1932,1026,1,403,2
14,8,2,5287,0,9,1947,2364,1,28,2
14,8,2,7789,0,9,1994,1309,1,131,2
10,5,2,11880,0,9,1990,3857,1,191,2
9,5,1,9340,4670,9,1925,1012,1,338,2
1,5,1,3720,1860,10,1900,1198,1,182,2
1,6,1,6164,2799,7,1970,924,1,377,2
1,5,1,9961,4000,10,1900,2356,1,518,2
14,8,2,3494,0,9,1961,2064,1,26,2
14,8,1,4239,2120,9,1950,1900,1,30,1
10,5,2,3890,0,9,1960,1100,1,102,2
9,5,1,19205,8000,9,1895,2324,1,678,2
9,5,2,4100,0,9,1950,1873,1,8,2
11,6,2,5986,0,9,2005,2150,1,48,2
1,6,2,8900,0,11,1976,2000,1,461,2
10,5,2,5200,0,9,1915,1137,1,318,2
1,5,1,7038,3269,10,1900,1898,1,1190,2
14,8,2,8684,0,9,1977,1193,1,134,2
14,8,2,4610,0,9,1997,3150,1,61,2
10,5,1,7334,3667,9,1900,1996,1,272,2
9,5,2,9100,0,9,1925,2200,1,167,2
1,5,1,9365,4000,10,1896,2326,1,195,2
14,8,2,6163,0,9,1870,1612,1,64,2
14,8,1,2800,1400,9,1924,1296,1,94,2
9,5,1,8600,4300,9,1900,2024,1,73,2
14,8,2,10100,0,9,1989,1122,1,158,1
1,6,2,7700,0,11,2000,2128,1,238,2
10,5,2,3990,0,9,1977,1200,1,15,2
14,5,2,4250,0,9,1992,4000,1,25,2
1,5,1,8700,3300,10,1999,1198,1,125,2
14,8,2,9030,0,9,1996,2329,1,138,2
10,5,1,5800,2900,9,1930,1033,1,174,2
11,6,2,4900,0,9,1920,1748,1,173,2
9,5,2,9081,0,9,1990,3178,1,214,1
14,8,2,2259,0,9,1986,3950,1,12,2
1,2,1,6885,2509,10,1930,2625,1,642,2
1,3,2,10301,0,10,1971,1146,1,1063,1
1,6,1,4874,2437,11,1990,1120,1,255,2
9,5,1,8450,4000,9,1870,2352,1,512,2
14,8,2,6120,0,9,2003,3143,1,16,2
10,5,1,6500,3250,9,1950,1604,1,188,2
1,6,1,6198,3099,10,1950,1213,1,627,2
14,8,1,8000,3920,9,1925,1344,1,329,2
14,8,1,9000,4000,9,1911,1352,1,202,2
1,5,1,6850,3425,10,2001,1061,1,416,2
10,5,1,4600,2225,9,1950,2240,1,362,2
4,6,2,6000,0,9,1890,1562,1,248,2
1,5,1,14700,4000,10,2004,1800,1,1275,2
11,6,2,7867,0,9,1960,1320,1,234,2
14,8,2,10530,0,9,1999,2350,1,197,2
1,5,1,2750,1350,12,1940,1782,1,93,2
14,8,2,5310,0,9,1973,3000,1,71,2
11,6,2,5140,0,9,1995,3316,1,351,2
14,4,2,5250,0,9,2002,3566,1,46,2
10,5,2,14160,0,9,1910,2336,1,746,2
1,1,2,13500,0,10,1968,2660,1,643,2
3,6,2,6738,0,9,1956,2250,1,230,2
1,5,2,8920,0,10,1950,1876,1,317,2
14,8,1,8000,4000,9,1941,1196,1,157,2
14,8,1,6012,3006,9,1946,1627,1,143,2
14,8,1,6400,3200,9,1910,1600,1,152,2
13,7,1,900,450,9,1900,1794,1,64,2
10,5,1,4250,2125,9,1915,2786,1,48,2
14,8,1,7078,3539,9,1980,1040,1,187,2
9,6,1,5343,2672,9,1953,3565,1,214,2
14,8,2,4632,0,9,1990,2489,1,165,2
11,6,2,4550,0,9,1968,1040,1,19,2
1,5,1,8675,4000,10,1985,1820,1,590,2
14,8,2,3289,0,9,1954,1639,1,29,2
14,4,2,4747,0,9,1976,1572,1,61,2
14,8,2,11322,0,9,1953,1512,1,128,2
14,5,1,10000,4000,9,1972,1344,1,127,2
10,5,1,9547,4000,9,1910,1440,1,471,1
9,5,1,4300,2150,9,1900,892,1,417,2
14,8,2,1150,0,9,1964,1600,1,152,2
14,8,1,3775,1888,9,1910,2475,1,19,2
11,6,2,9900,0,9,1964,2300,1,259,2
14,8,1,32000,8000,9,1960,3375,1,331,2
10,5,1,9800,4000,9,1905,2216,1,905,2
14,8,2,4000,0,9,1950,950,1,96,2
14,8,2,4722,0,9,1961,1475,1,124,2
13,7,2,12850,0,9,1990,2304,1,734,2
9,6,1,960,480,9,1954,1578,1,5,2
14,8,2,12027,0,9,1962,1863,1,190,2
4,6,2,3460,0,9,1967,3288,1,104,2
1,6,2,7095,0,10,1950,3522,1,865,2
1,5,2,4190,0,11,1991,1568,1,162,2
10,5,2,8000,0,9,1920,1152,1,230,2
10,5,1,11282,4000,9,1953,1104,1,516,2
14,5,2,6054,0,9,1965,2650,1,522,2
14,8,2,4910,0,9,1964,2496,1,103,2
1,5,1,12723,4000,11,1900,1936,1,267,2
14,8,2,4510,0,9,1957,1007,1,88,2
14,8,1,4460,2230,9,1988,980,1,103,2
1,8,1,5555,2778,10,1970,924,1,109,2
14,8,1,4900,2450,9,1966,1632,1,103,2
14,8,1,7734,3867,9,1963,1180,1,196,2
14,8,2,3924,0,9,1995,1759,1,106,2
1,6,2,17379,0,10,1968,3548,1,1438,2
3,2,2,4069,0,9,1920,3168,1,206,2
10,5,1,7950,3975,9,1930,2340,1,180,2
10,5,2,10580,0,9,1960,1768,1,209,2
9,5,1,12720,6300,9,1960,2410,1,126,2
14,8,2,9055,0,9,1971,1788,1,115,2
14,8,2,6545,0,9,2002,2072,1,92,2
10,2,1,7800,3900,9,1925,2800,1,424,2
9,5,2,4150,0,9,2018,2200,1,10,2
10,5,2,7760,0,9,1972,2644,1,135,2
14,8,2,4700,0,9,1945,1488,1,45,2
10,5,2,4000,0,9,1996,1476,1,110,2
14,8,2,6814,0,9,1976,1868,1,149,2
11,8,1,3205,1603,9,1964,1005,1,41,2
3,2,2,16700,0,9,1910,1800,1,121,2
14,8,2,5100,0,9,1966,2480,1,33,2
9,5,1,2921,1461,9,1960,1600,1,64,2
1,2,2,22720,0,10,1930,2612,1,2284,1
14,8,2,2600,0,9,1930,2112,1,42,2
10,5,1,4941,2470,9,1890,1632,1,89,1
14,8,2,3300,0,9,1967,2270,1,167,2
10,5,1,3850,1925,1,1960,1600,1,85,2
14,8,1,5000,2500,9,1945,900,1,75,2
1,5,2,4870,0,11,1988,1270,1,216,2
10,5,1,7800,3900,9,1850,1444,1,184,2
14,8,1,12750,4300,9,1940,1014,1,189,2
14,8,2,5600,0,9,1969,2417,1,232,2
14,8,1,8000,4000,9,1971,2616,1,149,2
11,6,2,10400,0,9,1860,1408,1,110,2
14,8,1,14774,4000,9,1920,1098,1,314,2
1,4,1,4120,2060,10,1900,1756,1,438,2
14,8,1,8011,2151,9,1900,1554,1,252,2
1,6,1,4950,2475,10,1825,1387,1,96,2
11,6,1,7653,3827,9,1930,1136,1,209,2
14,8,1,8464,2540,9,1942,1216,1,121,2
10,5,2,4040,0,9,1948,1136,1,139,2
10,3,2,17959,0,9,1955,1496,1,870,2
14,8,1,4500,2250,9,1940,837,1,194,2
14,8,2,12870,0,9,1950,1274,1,197,2
1,5,1,12704,3778,11,1870,1768,1,658,2
1,1,1,4193,2097,10,1962,1188,1,245,2
11,6,1,5816,2908,9,2001,1664,1,132,2
9,5,2,5900,0,9,1928,1960,1,236,2
14,5,2,5250,0,9,1975,2140,1,231,2
14,8,2,9200,0,9,1961,2520,1,139,2
9,5,1,4461,2230,9,1950,1536,1,324,2
14,8,1,9250,4000,9,1954,1434,1,176,2
14,8,2,18478,0,9,2006,2500,1,143,2
11,8,2,4460,0,9,2018,1891,1,37,2
14,8,2,4384,0,9,1984,1165,1,23,2
1,8,2,12830,0,9,1977,3672,1,351,2
14,8,1,8742,4000,9,1950,1402,1,374,2
14,8,1,13623,6812,9,1910,3635,1,675,2
1,6,1,10080,4000,10,1900,1236,1,723,2
9,5,1,6000,3000,9,1952,960,1,39,2
9,5,1,8800,4000,9,1880,1561,1,122,2
1,3,1,15000,5000,10,1962,1458,1,809,1
14,8,2,7560,0,9,1968,3366,1,38,2
14,8,2,4900,0,9,2002,1755,1,74,2
3,6,2,12964,0,9,1830,2150,1,1096,2
1,6,1,5245,2623,11,1900,1180,1,416,2
14,8,2,4703,0,9,1940,1344,1,120,2
14,8,1,5050,2525,9,1960,1760,1,125,2
10,5,2,3710,0,9,1963,1380,1,87,2
1,6,1,15687,5000,12,2015,1456,1,92,2
14,8,2,4525,0,9,1965,1958,1,33,2
9,5,2,8689,0,9,1969,2790,1,598,2
1,4,1,10273,4000,11,2008,2200,1,800,2
14,8,1,8000,4000,9,1966,1617,1,129,2
14,8,2,7995,0,9,1968,1814,1,60,2
11,6,2,4900,0,9,2010,3600,1,38,2
14,8,1,5800,2900,9,1991,2750,1,78,2
1,5,1,6960,3480,10,1975,2000,1,426,2
14,8,1,6725,3363,9,1967,1650,1,200,2
11,6,1,4200,2100,9,1920,1260,1,85,2
14,8,1,9440,4000,9,1939,1760,1,212,2
14,8,1,9213,3250,9,1950,896,1,152,2
11,6,1,9647,4824,1,1955,1745,1,726,2
3,6,2,16263,0,9,1995,1612,1,645,2
14,8,1,3000,1500,9,1968,1359,1,123,2
9,5,1,10550,3290,9,1993,1128,1,68,2
14,5,2,12682,0,9,1992,3271,1,261,2
9,5,2,4210,0,9,1986,1872,1,70,2
1,5,1,5200,2600,11,1985,980,1,158,2
9,6,1,4896,2448,9,1958,2000,1,110,2
14,8,2,6215,0,9,1950,1208,1,36,2
9,5,1,10416,4000,9,1900,1000,1,341,2
9,5,2,5550,0,9,1925,1280,1,25,2
9,5,1,4157,1228,9,1910,1614,1,179,2
14,8,1,4586,2293,9,1948,892,1,187,2
11,8,1,5111,2556,9,1993,1456,1,80,2
14,8,2,10687,0,9,1953,2272,1,72,2
9,5,1,6550,3275,9,1920,949,1,89,2
14,8,1,9248,4000,9,1950,1191,1,101,2
14,8,1,9966,2488,9,1928,1272,1,166,2
14,8,2,4600,0,9,2006,3652,1,92,2
14,8,1,2619,1310,9,1958,1500,1,205,2
