"Gas.Utility","Electric.Utility","Customer.Type","Total.Project.Cost","Total.Incentives","Fuel.Type","Year.Home.Built","Size.of.Home","Measure.Type","FYES","HRGJ"
1,5,2,3896,390,11,1992,2448,1,368,2
1,3,1,8300,4000,10,1978,1026,1,1137,1
1,5,2,3841,384,10,1960,2592,1,1782,2
1,3,2,10266,1027,10,1830,2350,1,3758,2
1,3,2,10299,970,10,2001,2123,1,2064,1
1,3,1,11489,5000,10,1900,2054,1,1061,2
10,5,1,7955,3978,9,1950,1680,1,467,2
1,5,2,1034,103,10,1900,2516,1,104,2
1,5,2,1778,178,10,1975,960,1,235,2
1,5,1,1050,525,10,1842,1872,1,123,1
1,3,1,17750,5000,10,1970,2970,1,2134,2
1,5,1,10977,5000,10,1900,1541,1,893,2
1,3,1,4000,2000,10,1984,2245,1,1035,2
1,5,1,9135,4568,10,1901,2400,1,1798,2
1,3,2,5471,423,10,1890,2075,1,251,2
1,3,1,8902,4201,10,1930,1829,1,1737,2
1,3,2,3866,369,10,1959,2720,1,631,2
1,3,1,9994,4997,10,1950,1420,1,882,2
10,5,1,5000,2500,8,1950,2372,1,511,2
1,5,2,6850,685,10,1930,2084,1,355,2
1,3,1,5865,2933,10,1960,2452,1,539,1
1,3,2,12692,1158,10,2019,3693,1,1462,2
1,3,2,6800,680,10,1920,2450,1,360,2
1,3,1,15880,5000,10,1963,1416,1,1740,2
1,5,2,7394,739,11,1988,2035,1,1114,2
1,7,1,4395,2198,10,1900,2494,1,297,2
1,5,2,8601,860,11,1954,1504,1,591,2
10,4,1,4898,2449,8,1991,2096,1,93,2
10,5,2,1862,186,8,1945,1386,1,447,2
1,5,2,2850,285,10,1820,1680,1,233,2
9,5,2,2810,281,8,1972,1724,1,145,2
1,5,2,1500,150,10,1950,1208,1,114,2
1,6,2,4487,449,10,1867,2182,1,265,2
10,5,1,4980,2490,8,1928,1152,1,489,1
1,2,2,11500,1150,10,1942,2508,1,948,2
10,5,1,3465,1733,8,1910,1404,1,299,1
1,5,2,5843,579,11,1975,2207,1,325,2
14,8,2,5720,572,8,1980,960,1,691,2
1,2,2,9155,916,10,1933,2145,1,1735,2
1,3,1,5500,2750,10,1950,1443,1,353,2
1,3,2,5979,575,10,1988,1668,1,438,2
10,5,2,2517,252,8,1972,1560,1,248,1
1,5,1,4500,2250,10,1950,1288,1,368,2
1,5,2,4370,437,10,1955,2064,1,1015,2
1,5,2,4933,493,10,1940,2583,1,660,2
1,3,2,6563,561,10,1910,1337,1,856,2
1,3,2,4009,386,10,1952,2544,1,689,1
1,6,2,6951,695,10,1960,3900,1,1344,1
10,3,2,2757,276,8,2000,1779,1,155,2
1,5,1,6150,3075,10,1860,2352,1,973,2
1,6,2,4200,420,10,1905,1872,1,2790,2
1,3,2,5690,535,10,1988,2245,1,877,1
1,3,2,14762,1396,10,1920,2024,1,1352,2
10,5,2,2970,297,8,1920,2688,1,248,2
1,5,2,2873,575,11,1989,1860,1,779,2
1,3,1,4550,2275,10,1910,1012,1,430,2
1,5,2,1900,380,10,1976,1144,1,269,2
1,3,2,3618,724,10,1930,2000,1,513,2
1,5,2,6540,654,10,1980,1428,1,565,1
10,5,2,1161,116,8,1996,1474,1,248,2
1,6,1,5520,3312,10,1800,1392,1,1756,2
1,2,2,16150,3230,10,1880,3968,1,2367,2
1,5,2,7898,1580,10,2001,1544,1,918,2
10,5,2,1900,190,8,1965,1200,1,313,2
1,5,1,10000,5553,10,1962,1492,1,3791,1
1,5,2,1980,396,10,1950,1350,1,219,2
10,5,2,4200,420,8,1956,1920,1,488,2
10,5,2,4181,418,8,1953,1692,1,725,2
10,5,2,9029,903,10,1980,3220,1,1174,2
1,5,2,12189,1219,10,1940,1650,1,1342,1
1,6,2,2650,265,11,1980,1856,1,171,2
1,5,2,4625,462,11,1980,1008,1,697,2
1,5,2,5100,510,10,1972,2040,1,554,2
1,5,1,5600,2800,11,1990,1200,1,553,1
10,5,2,2470,247,10,1920,1960,1,4,1
10,5,2,9200,920,8,1957,1610,1,762,1
10,5,1,10000,5000,10,1955,1691,1,1637,1
10,5,2,5010,501,10,1990,1056,1,37,1
10,5,2,8542,854,8,1990,1974,1,121,1
10,5,1,6200,3100,9,1965,1404,1,142,2
14,8,1,4688,1198,9,1950,1762,1,47,2
14,8,2,5171,0,9,1952,1286,1,42,2
10,5,2,3670,0,9,1979,1608,1,173,2
1,2,2,9600,0,10,1958,3000,1,342,2
11,6,1,13773,3050,9,1950,2269,1,1069,2
10,5,2,8170,0,9,1987,2634,1,282,2
14,8,1,7943,3822,9,1920,1676,1,177,2
14,8,1,5180,2590,9,1971,2052,1,159,2
14,8,1,7900,3950,9,1910,3143,1,323,2
14,8,1,4096,2048,9,1966,1808,1,195,2
14,4,2,8600,0,9,1967,1764,1,242,2
14,5,2,3733,0,9,1962,980,1,23,2
1,6,2,4272,0,11,2007,2400,1,14,2
14,5,1,6150,3075,9,1950,2080,1,68,2
14,8,2,1030,0,9,1990,1358,1,41,2
9,5,1,7700,2150,9,1880,1300,1,242,2
14,8,1,6150,3075,9,1901,1362,1,98,2
10,5,2,9550,0,9,1980,1864,1,217,2
14,8,1,9537,4000,9,1964,1170,1,230,2
10,5,2,4682,0,11,1898,1248,1,836,2
10,5,1,5945,2433,9,1950,2016,1,398,2
10,5,2,3950,0,9,1960,1750,1,92,2
1,6,1,15000,4000,12,1975,1566,1,470,2
10,5,2,6100,0,9,1976,2037,1,131,2
1,5,1,16800,4000,10,1992,2829,1,864,2
9,5,1,8000,4000,9,1940,1728,1,87,2
11,5,1,4030,2015,9,1963,840,1,36,2
13,7,1,8032,3722,9,1972,2470,1,95,2
14,8,2,8797,0,9,1989,2738,1,171,2
14,8,2,13331,0,9,1998,2797,1,151,2
11,8,2,16280,0,9,2002,1300,1,104,2
1,5,1,2600,1300,10,1968,1092,1,122,2
14,8,2,11038,0,9,1948,1523,1,134,2
1,5,2,12100,0,10,1895,1712,1,148,2
3,2,2,7980,0,9,1924,2000,1,111,2
14,8,2,11207,0,9,1970,1040,1,121,2
14,8,1,3904,1952,9,1955,1155,1,181,2
4,6,2,10500,0,9,1998,1328,1,243,2
14,8,1,7250,3625,9,1979,1634,1,79,2
1,5,1,5650,2400,7,1985,1200,1,172,2
13,7,1,14164,4000,9,1940,3092,1,2342,2
10,5,2,4070,0,9,1989,1600,1,52,2
11,6,1,5857,2929,9,1900,1728,1,125,2
1,2,2,10706,0,10,1927,2196,1,790,2
14,8,1,5179,2590,9,1972,2200,1,211,2
1,4,2,5600,0,11,1996,1344,1,21,2
14,8,2,4388,0,9,1950,1400,1,53,2
14,8,1,10986,3000,9,1972,1636,1,235,2
14,8,1,4127,2064,9,1920,1250,1,286,2
10,5,2,6910,0,9,1925,2340,1,506,2
14,8,1,5245,2623,9,1890,936,1,235,2
1,2,2,16937,0,10,1946,1944,1,917,2
14,8,1,6200,3100,9,1929,1136,1,111,2
14,8,2,9800,0,9,1977,2162,1,363,2
14,8,2,5049,0,9,1882,1440,1,149,2
14,8,2,5760,0,9,1955,2008,1,74,2
10,5,1,10600,5000,9,1955,2140,1,311,2
14,8,1,6000,3000,9,1949,1100,1,99,2
14,8,2,9342,0,9,1957,2173,1,280,2
14,8,2,3600,0,9,1927,2000,1,52,2
14,8,1,7900,3950,9,1919,1600,1,459,2
11,8,1,14482,4000,9,1900,2037,1,294,2
11,6,2,5548,0,9,1970,1585,1,216,2
14,8,1,7428,3714,9,1991,1875,1,253,2
14,8,2,5300,0,9,1985,1957,1,135,2
14,8,2,14315,0,9,1993,1734,1,153,2
1,1,2,13866,0,10,1890,2400,1,920,2
14,8,1,8000,2400,9,1850,1184,1,310,2
11,8,2,8227,0,9,1967,1625,1,152,2
1,6,2,8865,0,11,1998,1712,1,183,2
14,5,1,10535,4000,9,1900,1480,1,166,2
14,8,2,4453,0,9,1947,1092,1,277,2
